id,genres,production_companies,cast,crew,production_countries,spoken_languages,year,weekday,month,cast_power,cast_number,crew_number,spoken_languages_number,runtime,popularity,budget,imdb_rating,imdb_votes
5037,Action Crime,Dark_Castle_Entertainment Signature_Pictures After_Dark_Films Silver_Reel Saints_LA Bomar_OOD thefyzz Dunulf_Productions Emmitt_Productions_Limited ADF_Acquisitions,Ethan_Hawke Selena_Gomez Jon_Voight Paul_Freeman Bruce_Payne Rebecca_Budig Dimo_Alexiev Velislav_Pavlov Dejan_Angelov Peewee_Piemonte Ivaylo_Geraskov Esteban_Cueto,Justin_Caine_Burnett Moshe_Diamant Courtney_Solomon Courtney_Solomon Christopher_Milburn Allan_Zeman Ryan_Dufrene Yaron_Levy Nate_Jones Sean_Finegan Gregg_Maxwell_Parker Michelle_Jones Mariana_Stanisheva Borislav_Mihailovski Arta_Tozzi,BG US,en,2013,Thursday,Aug,18759103.29,12,15,1,90.0,13.224288,18000000,4.4,23044
5038,Adventure Animation Comedy Family Fantasy,DreamWorks_Animation,Nicolas_Cage Emma_Stone Ryan_Reynolds Catherine_Keener Cloris_Leachman Clark_Duke Chris_Sanders Randy_Thom,Alan_Silvestri John_Cleese Jane_Hartwell Yong_Duk_Jhun Chris_Sanders Chris_Sanders Kirk_De_Micco Kirk_De_Micco Kristine_Belson Simon_Rodgers David_Lee James_Baxter Shane_Prigmore Steve_Cunningham,US,en,2013,Wednesday,Mar,60207014.14,8,14,1,98.0,14.757874,135000000,7.2,187624
5039,Documentary,Manny_O_Productions,Dean_Gomersall Samantha_Berg John_Jett John_Hargrove Carol_Ray Jeffrey_Ventre Kim_Ashdown Ken_Balcomb Mark_Simmons Thomas_Tobin Dave_Duffus Estefania_Rodriguez Mercedes_Martinez John_Crowe Howard_Garrett Eric_Walters Steve_Huxter Christopher_Porter Corinne_Cowell Nadien_Kallen Suzanne_Allee Lori_Marino Diane_Brancheau Dawn_Brancheau John_Sillick Tamarie_Tollison Alexis_Martinez Keltie_Byrne Whoopi_Goldberg Anderson_Cooper James_Earl_Jones,Jeff_Beal Gabriela_Cowperthwaite Gabriela_Cowperthwaite Gabriela_Cowperthwaite Eli_B._Despres Eli_B._Despres Jonathan_Ingalls Chris_Towey,US,en es,2013,Friday,Jun,2552616.75,31,8,2,83.0,5.495138,0,8.1,60963
5040,Crime Drama Thriller,Good_Films,Bryan_Cranston Diane_Kruger John_Leguizamo Daniel_Mays Benjamin_Bratt Amy_Ryan Elena_Anaya Joseph_Gilgun Gino_Picciano Art_Malik Juan_Cely Jason_Isaacs Tom_Vaughan-Lawlor Olympia_Dukakis Sa√Ød_Taghmaoui Tim_Dutton Michael_Par√© Rub√©n_Ochandiano Carsten_Hayes Andy_Beckwith Dinita_Gohil,Jeff_McEvoy Brad_Furman Ellen_Brown_Furman Joshua_Reis Robert_Mazur Nicole_Boccumini Paul_M._Brennan Bryan_Cranston Kate_Fasulo Jess_Fuerst Brad_Furman Camela_Galano Peter_Hampden Robert_How Scott_LaStaiti Robert_Mazur Norman_Merry Jill_Morris Martin_Rushton-Turner Matt_Ruskin Miriam_Segal Don_Sikorski Paula_Turnbull Luis_Carballar David_Rosenbloom Gail_Stevens Crispian_Sallis Karen_Wakefield Cathy_Cosgrove Scott_Jacobson Dinah_Collin Chris_Hajian Caroline_O'Reilly Seth_C._Harris Tanith_James Mark_Holt James_Carter George_Stone Martin_Gabriel Uel_Hormann Ben_Tat Ben_Tat Peter_Burgis Zoe_Freed Jack_Stew James_Hayday Paul_Carter Paul_Cotterell,GB,en es,2016,Wednesday,Jul,42625454.93000001,21,48,2,127.0,11.504398,25000000,7.0,66880
5041,Comedy Crime,Metro-Goldwyn-Mayer_(MGM) Prominent_Features,John_Cleese Jamie_Lee_Curtis Kevin_Kline Michael_Palin Maria_Aitken Tom_Georgeson Cynthia_Cleese Patricia_Hayes Geoffrey_Palmer Mark_Elwes Neville_Phillips Peter_Jonfield Jeremy_Child Stephen_Fry Ken_Campbell Al_Hunter_Ashton Roger_Hume Roger_Brierley Llewellyn_Rees Michael_Percival Kate_Lansbury Andrew_MacLachlan Roland_MacLeod Robert_Putt Pamela_Miles,Priscilla_John Stephanie_McMillan Michael_Shamberg John_Jympson John_Cleese John_Cleese Hazel_Pethig Charles_Crichton Charles_Crichton Steve_Abbott John_Comfort John_Du_Prez Alan_Hume Roger_Murray-Leach Paul_Engelen Jonathan_Bates Colin_Wood George_Gibbs Gerry_Humphreys John_Wood Chris_Munro David_James Diana_Dill Janine_Modder Bruce_Bigg Romo_Gorrara Peter_Holt,GB US,en it ru,1988,Friday,Jul,12414424.369999997,25,27,3,108.0,11.400352999999999,7500000,7.5,129969
5042,Comedy Drama,Universal_Pictures Falcon_Productions Renfield_Productions,John_Goodman Cathy_Moriarty Simon_Fenton Omri_Katz Lisa_Jakub Kellie_Martin Lucinda_Jenney Jesse_Lee_Soffer James_Villemaire Robert_Picardo Jesse_White David_Clennon Lucy_Butler Georgie_Cranford Nick_Bronson Cory_Barlog George_Carson Joe_Gonzalez Belinda_Balaski Charles_S._Haas Mark_McCracken Archie_Hahn Naomi_Watts Chris_Stacy Allison_McKay Glenda_Chism Aaron_Stormer Lana_Bucciarelli Richard_Rossomme D._Christian_Gottshall Bernard_Blanding Dennis_Neal Luke_Halpin Eulan_Middlebrooks Elizabeth_Dimon Shane_Obedzinski Summer-Healy_Chapin James_Scott_Hess Shawn_Edward_Watkins Danny_Hanemann Jesse_Zeigler Andy_Isaacs Joe_Candelora Steve_Zurk Mary_Moriarty John_Paul_Lehman Jacob_Witkin Tracy_Roberts Marc_Macaulay Timothy_Bass Jeff_Breslauer Molly_Conole Peggy_O'Neal Colette_Piceau Steve_DuMouchel Kurt_Smildsin Michael_T._Kelly Ike_Pappas Brett_Rice Sherman_'Big_Train'_Bergman Robert_Cornthwaite Joey_Fatone John_F._Kennedy Art_Linkletter Sherrie_Peterson William_Schallert Adlai_Stevenson Elijah_Vorrasi Valerian_Zorin Dick_Miller John_Sayles Kevin_McCarthy,Jerry_Goldsmith Joe_Dante Isis_Mussenden Gretchen_Rennell Michael_Finnell John_Hora Charles_S._Haas Charles_S._Haas Rick_Baker Marshall_Harvey Eric_Weiler Kathe_Swanson Pat_Kehoe Pat_Kehoe Frederic_C._Weiler Steven_Legler Nanci_Roberts Erin_Koplow Ron_Scott Selena_Evans-Miller Jerico,US,en,1993,Friday,Jan,12721400.450000001,72,21,1,99.0,7.256473,0,6.9,9407
5043,Thriller Crime Drama Mystery,Cloud_Eight_Films Pathé Decibel_Films Film4,James_McAvoy Vincent_Cassel Rosario_Dawson Matt_Cross Danny_Sapani Tuppence_Middleton Lee_Nicholas_Harris Sam_Creed Hamza_Jeetooa Ben_Cura Kelvin_Wise Simon_Kunz Wahab_Sheikh Mark_Poltimore Michael_Shaeffer,Jon_Harris Anthony_Dod_Mantle Danny_Boyle Danny_Boyle Mark_Tildesley Gail_Stevens Donna_Isaacson Fran√ßois_Ivernel John_Hodge Bernard_Bellew Denis_Schnegg Christian_Colson Rick_Smith Suttirat_Anne_Larlarb Joe_Ahearne Dominic_Capon Katrina_Dunn Susie_Allnutt Sylvia_Parker Allan_Jenkins,GB FR,en fr,2013,Wednesday,Mar,27564018.919999998,15,20,2,101.0,7.876299,20000000,6.9,108769
5044,Comedy Drama Romance,New_Line_Cinema Village_Roadshow_Pictures Home_Box_Office_(HBO) HBO_Films,Sarah_Jessica_Parker Kristin_Davis Cynthia_Nixon Kim_Cattrall Chris_Noth David_Eigenberg Evan_Handler Alexandra_Fong Parker_Fong Mario_Cantone Willie_Garson Noah_Mills Liza_Minnelli Billy_Stritch Alice_Eve Jason_Lewis Max_Ryan Lynn_Cohen Amira_Mor Dhaffer_L'Abidine John_Corbett Raya_Meddine Jennifer_Ferrin Tet_Wada Tim_Gunn Pen√©lope_Cruz Miley_Cyrus Omid_Djalili Tuesday_Knight Norm_Lewis Megan_Boone Neal_Bledsoe,Sarah_Jessica_Parker Patricia_Field Michael_Berenbaum Aaron_Zigman Jeremy_Conway Toby_Emmerich Michael_Patrick_King Michael_Patrick_King John_P._Melfi Darren_Star John_Thomas Candace_Bushnell Marcus_Viscidi Richard_Brener,US,en ar,2010,Wednesday,May,77627699.17,32,14,2,146.0,7.255991000000001,100000000,4.5,73305
5045,Drama Comedy,Wild_Bunch Les_Films_Du_Fleuve British_Film_Institute_(BFI) Entertainment_One Sixteen_Films Urania_Pictures_S.r.l.,Paul_Brannigan Siobhan_Reilly John_Henshaw Gary_Maitland William_Ruane Jasmin_Riggins Scott_Dymond Scott_Kyle Neil_Leiper James_Casey Caz_Dunlop Gilbert_Martin Roger_Allam Lorne_MacFadyen John_Joe_Hay David_Goodall Finlay_Harris Paul_Donnelly Daniel_Portman,Ken_Loach Paul_Laverty Rebecca_O'Brien Barry_Ackroyd Jonathan_Morris Robbie_Ryan,BE FR IT GB,en,2012,Friday,Jun,597802.7000000001,19,6,1,101.0,12.807728,0,7.0,23278
5046,Drama Romance,Miramax_Films Bandeira_Entertainment Millennium_Films,Sarah_Polley Stephen_Rea Jean_Smart Gina_Gershon Paul_Dooley Francis_Guinan Jasmine_Guy Tracy_Letts Sandra_Oh Carrie_Preston Emily_Procter,Audrey_Wells Audrey_Wells Jonathan_King Brad_Weston Charles_Minsky Dody_Dorn Christophe_Beck John_Brace Linda_Lowy Stephen_McCabe Danielle_Berman Genevieve_Tyrrell,US,en,1999,Saturday,Sep,10308228.980000002,11,12,1,104.0,4.004968,2600000,6.0,2376
5047,Drama,Milestone_FIlms,Henry_G._Sanders Kaycee_Moore Charles_Bracy Angela_Burnett Eugene_Cherry Jack_Drummond,Charles_Burnett,US,en,1978,Tuesday,Nov,2506726.42,6,1,1,83.0,2.7778560000000003,100000,7.3,5965
5048,Adventure Crime Family Drama,Cinema_Group_Ventures,Tommy_Lee_Jones Martha_Plimpton Brian_Dennehy Shawn_Smith Dan_Hewitt_Owens Nancy_Lea_Owen Norman_Bennett Tony_Frank Angie_Bolling,Tom_Rickman Tom_Rickman,US,en,1984,Friday,Sep,4979037.2700000005,9,2,1,94.0,0.57743,0,6.4,829
5049,Drama Comedy,FilmEngine Infinitum_Nihil GK_Films,Johnny_Depp Amber_Heard Aaron_Eckhart Michael_Rispoli Giovanni_Ribisi Richard_Jenkins Amaury_Nolasco Marshall_Bell Bill_Smitrovich Julian_Holloway Enzo_Cilenti Aaron_Lustig Natalia_Rivera Jimmy_Ortega,Mark_A._Mangini Dariusz_Wolski Johnny_Depp Peter_Kohn Denise_Chamian Colleen_Atwood Richard_L._Anderson Christopher_Young Edward_Tise Carol_Littleton Bruce_Robinson Bruce_Robinson John_Ross Rosemary_Brandenburg Graham_King Greg_Shapiro Hunter_S._Thompson A.J._Dix Anthony_Rhulen Colin_Vaines Dawn_Swiderski Patrick_McCormick Chris_Seagers Diana_Noris Paul_Rabjohns Tim_Headington George_Simpson Christi_Dembrowski William_Shively Robert_Kravis Coraly_Santaliz Piero_Mura Peter_Mountain Aaron_Glascock Curt_Schulkey Nathan_J._Busch_II Thomas_Milano James_Morioka Vanessa_Lapato Katy_Wood Jake_Rice Russell_Allen George_Tobia_Jr. Bill_Gilman Steven_Wayne Ismael_'Izzy'_Gonzalez Lizzie_Ibarra,US,en de es,2011,Thursday,Oct,32947456.699999996,14,47,3,120.0,10.110503999999999,45000000,6.2,98049
5050,Drama,RKO_Radio_Pictures,Victor_McLaglen Heather_Angel Preston_Foster Margot_Grahame Wallace_Ford Una_O'Connor J._M._Kerrigan Joe_Sawyer Donald_Meek,Max_Steiner John_Ford Dudley_Nichols Liam_O'Flaherty,US,en,1935,Thursday,May,464327.29,9,4,1,91.0,2.000496,243000,7.4,5607
5051,Fantasy Animation Family,DreamWorks_Animation,Chris_Pine Alec_Baldwin Jude_Law Isla_Fisher Hugh_Jackman Dakota_Goyo Khamani_Griffin Kamil_McFadden Georgie_Grieve Emily_Nordwind Jacob_Bertrand Olivia_Mattingly Dominique_Grund April_Lawrence Ryan_Crego Ryan_Crego,David_Lindsay-Abaire Christina_Steinberg William_Joyce Peter_Ramsey Nancy_Bernstein Jean-Francois_Rey Simon_Rodgers Kendra_Vander_Vliet Shane_Prigmore Chris_Appelhans,US,fr en,2012,Wednesday,Nov,132610023.15999998,16,10,2,97.0,10.943775,145000000,7.3,154002
5052,Action Thriller Crime,Jerry_Bruckheimer_Films Kouf/Bigelow_Productions Touchstone_Pictures Hiett_Designs_of_Las_Vegas Runway_Pictures_Inc,Nicolas_Cage John_Cusack John_Malkovich Ving_Rhames Nick_Chinlund Steve_Buscemi Colm_Meaney Rachel_Ticotin Dave_Chappelle Mykelti_Williamson Danny_Trejo M.C._Gainey Steve_Eastin Monica_Potter Landry_Allbright Renoly_Santiago Brendan_Kelly Jesse_Borrego Jos√©_Z√∫√±iga Mongo_Brownlee Don_Charles_McGovern Angela_Featherstone Doug_Hutchison Jeris_Poindexter David_Ramsey Conrad_Goode Emilio_Rivera Mario_Roberts Ty_Granderson_Jones Bob_Stephenson Dylan_Haggerty Carl_Ciarfalio Ned_Bellamy John_Roselius Fredric_Lehne John_Marshall_Jones Tommy_Bush Brian_Willems Bill_Cusack George_Randall Jamie_Bozian Harley_Zumbrum Doug_Dearth Kevin_Gage,Simon_West Scott_Rosenberg Jerry_Bruckheimer David_Tattersall Debra_Echard Matsune_Suzuki Matsune_Suzuki Kathy_Nelson P.R._Tooke Frank_Masi David_Emmerichs Trevor_Rabin Mark_Mancina Lynn_Kouf Jim_Kouf Jonathan_Hensleigh Peter_Bogart Chad_Oman Kenny_Bates Jeanne_McCarthy Victoria_Thomas Matthew_Barry Bobbie_Read Glen_Scantlebury Steve_Mirkovich Chris_Lebenzon Edward_T._McAvoy David_Goldberg Kenny_Bates Mark_Indig Carl_S._Griffin Jacqui_Popelka Karin_Anderson Hugo_Pe√±a Erma_Kent Michael_St._Hilaire George_Watters_II,US,en,1997,Sunday,Jun,64674127.68999998,44,37,1,115.0,11.545982,75000000,6.9,272376
5053,Action Adventure Crime Drama Thriller,TriStar_Pictures Gordon_Company Carolco_Pictures White_Eagle,Sylvester_Stallone Donald_Sutherland John_Amos Sonny_Landham Tom_Sizemore Frank_McRae Darlanne_Fluegel William_Allen_Young Jordan_Lund Larry_Romano John_Lilla Dean_Rader_Duval Kurek_Ashley Jerry_Strivelli David_Anthony_Marshall Michael_Petroni Danny_Trejo Frank_D'Annibale Clarence_Moore Tony_Lip,Jeb_Stuart John_Flynn Michael_S._Glick Lloyd_Levin Henry_Rosenbaum Adam_Simon Bill_Conti Don_Brochu Lawrence_Gordon Tony_Munafo Richard_Smith Donald_E._Thorin Joy_Todd Robert_A._Ferretti Michael_N._Knue Barry_B._Leirer Bill_Kenney George_DeTitta_Sr. Bernie_Pollack Charles_Gordon,US,en,1989,Friday,Aug,26811515.249999996,20,20,1,115.0,4.701379,24000000,6.4,37779
5054,Comedy Romance,Paramount_Pictures,Kate_Hudson Matthew_McConaughey Kathryn_Hahn Annie_Parisse Adam_Goldberg Thomas_Lennon Michael_Michele Shalom_Harlow Robert_Klein Bebe_Neuwirth Samantha_Quan Justin_Peroff Celia_Weston James_Murtaugh Rebecca_Harris Archie_MacGregor John_DiResta Scott_Benes Zachary_Benes William_Hill Georgia_Craig Andrew_Moodie,John_Bailey Lynda_Obst David_Newman Debra_Neil-Fisher Robert_Evans Donald_Petrie Richard_Vane Burr_Steers Kristen_Buckley Brian_Regan Christine_Forsyth-Peters,DE US,en,2003,Friday,Feb,47550298.62000001,22,11,1,116.0,5.188107,50000000,6.4,206588
5055,Drama,Miramax_Films,Billy_Bob_Thornton Dwight_Yoakam J.T._Walsh John_Ritter Lucas_Black Robert_Duvall Natalie_Canerday James_Hampton Christine_Renee_Ward Jim_Jarmusch Vic_Chesnutt Rick_Dial Brent_Briscoe Tim_Holder Bruce_Hampton Mickey_Jones Ian_Moore,Billy_Bob_Thornton Billy_Bob_Thornton Billy_Bob_Thornton Hughes_Winborne Larry_Meistrich Barry_Markowitz David_L._Bushell Brandon_Rosser Daniel_Lanois,US,en,1996,Friday,Aug,8032610.61,17,9,1,135.0,9.475693,1000000,8.0,85965
5056,Fantasy Animation Action Adventure,Dentsu_Inc. Aniplex Shueisha TV_Tokyo Toho Studio_Pierrot_Co._Ltd. Bandai,Junko_Takeuchi Chie_Nakamura Toshiyuki_Morikawa Emi_Shinohara Kazuhiko_Inoue Naoya_Uchida Noriaki_Sugiyama Nana_Mizuki,Masashi_Kishimoto Masashi_Kishimoto Hayato_Date Yuka_Miyata,JP,ja,2012,Saturday,Jul,0.0,8,4,1,109.0,5.525454,0,7.7,5470
5057,Horror Comedy,Vestron_Pictures Contemporary_Films Palla HB_Filmrullen,Zach_Galligan Deborah_Foreman Michelle_Johnson David_Warner Dana_Ashbrook John_Rhys-Davies Clare_Carey Jennifer_Bassey Joe_Baker Eric_Brown Buckley_Norris Micah_Grant Mihaly_'Michu'_Meszaros Miles_O'Keeffe Christopher_Bradley Julian_Forbes Patrick_Macnee J._Kenneth_Campbell Jack_David_Walker Nelson_Welch James_D.R._Hickox Irene_Olga_L√≥pez Charles_McCaughan Edward_Ashley Anthony_Hickox Staffan_Ahrenberg Tom_MacGreevey Gabriella_Dufwa,Anthony_Hickox Anthony_Hickox Staffan_Ahrenberg Eyal_Rimmon Dan_Ireland William_J._Quigley Mario_Sotela Roger_Bellon Gerry_Lively Christopher_Cibelli,US,en,1988,Friday,Jun,8106806.78,28,10,1,95.0,8.575666,0,6.2,10767
5058,Drama,Focus_Features,Adam_Greaves-Neal Sara_Lazzaro Vincent_Walsh Sean_Bean Jonathan_Bailey Isabelle_Adriani Rory_Keenan Dorotea_Mercuri Jarreth_J._Merz Agni_Scott Paola_Lavini Paul_Ireland Matt_Patresi Lee_Boardman David_Bradley Christian_McKay Giselda_Volodi,Cyrus_Nowrasteh Cyrus_Nowrasteh Anne_Rice Betsy_Giffen_Nowrasteh John_Debney Joel_Ransom,US,en,2016,Thursday,Mar,19546328.009999998,17,6,1,120.0,1.7291990000000002,18500000,5.6,3140
5059,Drama Action Crime,New_Line_Cinema,Jada_Pinkett_Smith Queen_Latifah Vivica_A._Fox Kimberly_Elise Blair_Underwood John_C._McGinley Ella_Joyce Charles_Robinson Dr._Dre WC F._Gary_Gray Mark_Thompson Geoff_Callan Natalie_Desselle Thomas_Jefferson_Byrd Chaz_Lamar_Shepherd Samuel_Monroe_Jr.,F._Gary_Gray Takashi_Bufford Takashi_Bufford Oren_Koules Dale_Pollock Christopher_Young Marc_Reshovsky John_R._Carter Kate_Lanier Takashi_Bufford,US,en,1996,Wednesday,Nov,13825809.32,17,10,1,118.0,6.85606,9000000,6.9,13954
5060,Action Thriller,Summit_Entertainment Atmosphere_Entertainment_MM Emmett/Furla_Films Mark_Canton_Productions Envision_Entertainment Boies_/_Schiller_Film_Group Knightsbridge_Entertainment,Sylvester_Stallone Arnold_Schwarzenegger Jim_Caviezel Vinnie_Jones 50_Cent Vincent_D'Onofrio Matt_Gerald Sam_Neill Christian_Stokes Lydia_Hull David_Joseph_Martinez Caitriona_Balfe Amy_Ryan Faran_Tahir Steven_Krueger Jaylen_Moore James_Rawlings Alec_Rayme David_Leitch Jeff_Chase Brian_Oerly Christopher_Matthew_Cook Michael_Papajohn John_L._Armijo Tim_Bell Graham_Beckel Stephen_Warren Rodney_Feaster Eric_R_Salas Dieter_Rauter Stephen_Livaudais Jay_Amor Joseph_Aviel Rex_Baker Joseph_Blackstone Johnnie_Brannon,David_Lazan Paul_Hughen Ellen_Heuer Anne_McCarthy Barry_Chusid Kevin_King_Templeton George_Furla Randall_Emmett Alex_Heffes Leslie_Shatz Bradford_Johnson Mikael_H√•fstr√∂m Mark_Canton Brendan_Galvin Jonathan_Eusebio Derek_Vanderhorst Derek_Vanderhorst Robbie_Brenner Steve_Adcock Aaron_Barnes Jason_Keller Jeff_Rice Nicolas_Stern Lizz_Wolf Elliot_Greenberg Remington_Chase James_A._Gelarden Miles_Chapman Miles_Chapman Spencer_Silna Sarah_Contant Kimberly_Amacker Brandt_Andersen Stepan_Martirosyan Jeffery_J._Tufano Taylor_Mahony Kellie_Roy Alexander_Boies Jason_Gandhi Zack_Schiller Mark_Stewart Scott_Eddo Jennifer_Kamrath Jann_Engel Linda_Gardar Linda_Gardar Kent_H._Johnson Debbie_Estay Michael_Magill Nancy_Breaux Andy_Ryan Kizzie_Autumn_Martin Joseph_Bonn Roberto_Cappannelli Chuck_Stringer Jude_Erny Jack_Lazzaro Gabriel_J._Serrano Tim_Limer Pete_Romano Hans_Bjerno Mustapha_Mimis Matt_Tassone George_Lee Sandy_Parker Jeff_Atherton Mary_Frances_Eglin Lisa_Latter Yolanda_Mercadel Duane_Manwiller Chris_Wells Mark_Edward_Wright Alan_Markfield Nicole_Venables Michael_Arena Noon_Orsatti Jesse_Ehredt Christopher_TJ_McGuire David_Esparza Mandell_Winter Sebastian_Perez-Burchard Emily_Tatum Gregg_Brilliant Lindanne_Lewis Nigel_Scott Ferdinand_Duplantier_Jr. Jody_Miller Adam_Ward Jami_Ross Amy_Soto Robert_'Rock'_Galotti Markus_Wittman Derek_Babchishin JC_Bond Dwight_Raymond Josh_Sutherland Joel_Sevilla Donald_Dowd Juliana_Hoffpauir Molly_Kamrath,US,en de ar ur,2013,Wednesday,Oct,60813899.42,36,100,4,115.0,14.191610999999998,50000000,6.7,224608
5061,Action Thriller,Worldview_Entertainment Anonymous_Content MadRiver_Pictures Sierra_Pictures Surefire_Capital,Casey_Affleck Chiwetel_Ejiofor Woody_Harrelson Kate_Winslet Anthony_Mackie Aaron_Paul Norman_Reedus Gal_Gadot Teresa_Palmer Clifton_Collins_Jr Michelle_Ang Luis_Da_Silva_Jr. Michael_Kenneth_Williams Terence_Rosemore Terri_Abney Alexander_Babara Anthony_Belevtsov Blake_McLennan Michael_Harding Labrandon_Shead Carlos_Aviles Ian_Casselberry E._Roger_Mitchell Armando_Alonzo Karen_Kaia_Livers Igor_Komar Stephen_Vining,John_Hillcoat Matt_Cook Marc_Butan Bard_Dorros Anthony_Katagas Keith_Redmon Christopher_Woodrow Bobby_Krlic Atticus_Ross Leopold_Ross Claudia_Sarne Nicolas_Karakatsanis Dylan_Tichenor Craig_Fincannon Lisa_Mae_Fincannon Kimberly_Wistedt Tim_Grimes Jacqueline_Jacobson_Scarfo Margot_Wilson Laurie_Bookhardt Kelly_Garrett_Green John_Moredock Curtis_Crowe Lori_Grabowski Caius_Man Glenn_Allen Richard_Friedlander Keith_Adams Eran_Dinur Michael_Sabo Tracy_McKnight Pam_DeMetruis-Thomas Esther_Regelson Lisa_J._Levine Jonathan_Fang Jon_Flores Michael_Patterson Mickey_Giacomazzi David_Emmerichs Jim_McKinney Mat√≠as_Mesa Ken_Shibata Bob_Mahoney Greg_Argarin Jon_Lindsay Adam_Castro Humphrey_Jarrod Jeff_Cornell Charles_Herzfeld Kevin_Vale Tara_Fidler Suzy_Freeman Sara_Cobbeldick Johnna_Thomas Lance_Aldredge Tiffony_Simpson Robert_Wilson Kimberly_Jones Sarah_Mays Denise_Tunnell Donna_Martin Leslie_Bloome,US,en,2016,Friday,Feb,31039699.28,27,62,1,115.0,12.892503999999999,20000000,6.3,64604
5062,Action Horror Thriller,Fidélité_Productions Mars_Films Canal+,Jo_Prestia Jean-Louis_Loca Marc_Chapiteau Moussa_Maaskri Patrick_Dell'Isola Julie-Anne_Roth Simon_Eine Mathieu_Busson Jacques_Seiler,Herv√©_Renoh Herv√©_Renoh Marc_Missonnier Gilles_Arnaud Jean_de_Garrigues St√©phane_Gaillard Martine_Faure Michel_Lagrange Olivier_Delbosc,FR,fr,2001,Friday,Dec,509297.86,9,9,1,98.0,1.2860049999999998,0,5.0,446
5063,N/A,Media_Pro_Pictures Cine_TV_Film_Production,Mihaela_RƒÉdulescu Cristian_Iacob Maia_Morgenstern Daniela_Nane,Sergiu_Nicolaescu,RO,ro,2005,Friday,Oct,0.0,4,1,1,95.0,0.038560000000000004,0,5.7,695
5064,Action Science_Fiction Thriller Crime,Universal_Pictures Stuber_Productions Dentsu Relativity_Media,Jude_Law Forest_Whitaker Alice_Braga Liev_Schreiber Carice_van_Houten Chandler_Canterbury RZA Joe_Pingue Tiffany_Espensen Liza_Lapira Yvette_Nicole_Brown Tanya_Clarke John_Leguizamo Daniel_L√©vesque Max_Turnbull,Richard_Francis-Bruce Marco_Beltrami Mindy_Marin Enrique_Chediak Scott_Stuber Andrew_Z._Davis Miguel_Sapochnik Eric_Garcia Garrett_Lerner Mary_Parent Mike_Drake Jon_Mone Caroline_Harris Donald_Mowat,CA US,en,2010,Thursday,Mar,24961650.43,15,14,1,111.0,7.502967,32000000,6.3,100206
5065,Drama Thriller,CBS_Films Also_Known_As_Pictures,Bradley_Cooper Zoe_Saldana Jeremy_Irons Dennis_Quaid Olivia_Wilde J.K._Simmons John_Hannah Zeljko_Ivanek Ben_Barnes Michael_McKean Nora_Arnezeder Ron_Rifkin Gianpaolo_Venuta Liz_Stauber Keeva_Lynk,Brian_Klugman Brian_Klugman Jim_Young Lee_Sternthal Lee_Sternthal Tatiana_Kelly Lisa_Wilson,US,en fr,2012,Friday,Sep,10930132.370000001,15,7,2,96.0,6.089971,6000000,7.0,73802
5066,Adventure Drama Music Romance,Aamir_Khan_Productions,Aamir_Khan Gracy_Singh Rachel_Shelley Paul_Blackthorne Kulbhushan_Kharbanda Rajendranath_Zutshi Rajesh_Vivek Yashpal_Sharma Amin_Hajee Aditya_Lakhia Akhilendra_Mishra Rajendra_Gupta Shri_Vallabh_Vyas Raghuvir_Yadav Javed_Khan A.K._Hangal Anupam_Shyam John_Rowe Jeremy_Child Howard_Lee Pradeep_Ram_Singh_Rawat David_Gant Amitabh_Bachchan Ben_Nealon Suhasini_Mulay Daya_Shankar_Pandey Raja_Awasthi Amin_Gazi Pramatesh_Mehta Chris_England Simon_Holmes Jon_House,A._R._Rahman A._R._Rahman Vasundhara_Das Uma_Da_Cunha Anil_Mehta Amitabh_Bachchan Aamir_Khan Ashutosh_Gowariker Ashutosh_Gowariker Ashutosh_Gowariker Mansoor_Khan Shankar_Mahadevan Abbas_Ali_Moghul Asha_Bhosle Bhanu_Athaiya Ballu_Saluja Nitin_Chandrakant_Desai Udit_Narayan Urvashi_Chugani Nicole_Demers Ejaz_Gulab Sadhana_Sargam Lata_Mangeshkar Giles_Livesey Satish_Ratakonda Shakti_Banerjee Nakul_Kamte Alka_Yagnik,IN,en hi ur,2001,Friday,Jun,8702405.520000001,32,28,3,224.0,4.9745099999999995,5200000,8.1,103140
5067,Comedy,Parabolic_Pictures Screen_Gems,Zoe_Saldana James_Marsden Martin_Lawrence Peter_Dinklage Danny_Glover Chris_Rock Regina_Hall Tracy_Morgan Luke_Wilson Kevin_Hart Columbus_Short Loretta_Devine Keith_David Regine_Nehy Ron_Glass,Chris_Rock William_Horberg Rogier_Stoffers Dean_Craig Laurence_Malkin Share_Stallings Sidney_Kimmel Neil_LaBute,US,en,2010,Thursday,Apr,19847995.14,15,8,1,92.0,10.863441,21000000,5.7,46389
5068,Drama,Lawrence_Turman,Dustin_Hoffman Anne_Bancroft Katharine_Ross Murray_Hamilton Buck_Henry Brian_Avery Walter_Brooke William_Daniels Elizabeth_Wilson Norman_Fell Alice_Ghostley Marion_Lorne Eddra_Gale,Mike_Nichols Richard_Sylbert Buck_Henry Robert_Surtees Sam_O'Steen Calder_Willingham Charles_Webb Patricia_Zipprodt,US,en,1967,Thursday,Dec,4603863.56,13,8,1,106.0,12.057829,3000000,8.0,250745
